#,Frequency (Hz),Amplitude (Vpp),Gain (dB),Phase (∞)
1,100,0.125,-9.56,95.11
2,102.6,0.125,-9.2,96.89
3,105.2,0.125,-9.08,96.5
4,107.9,0.125,-8.7,94.63
5,110.7,0.125,-8.46,94.88
6,113.5,0.125,-8.52,94.64
7,116.4,0.125,-8.03,94.52
8,119.4,0.125,-7.99,94.65
9,122.5,0.125,-7.66,93.07
10,125.6,0.125,-7.58,93.08
11,128.8,0.125,-7.33,92.51
12,132.1,0.125,-7.11,93.04
13,135.5,0.125,-6.84,92.85
14,139,0.125,-6.58,91.97
15,142.6,0.125,-6.46,91.69
16,146.2,0.125,-6.18,91.8
17,150,0.125,-6,91.22
18,153.8,0.125,-5.71,90.83
19,157.8,0.125,-5.5,90.82
20,161.8,0.125,-5.29,90.18
21,166,0.125,-5.03,90.22
22,170.2,0.125,-4.85,89.98
23,174.6,0.125,-4.6,89.68
24,179.1,0.125,-4.4,89.4
25,183.7,0.125,-4.18,89.04
26,188.4,0.125,-4.01,88.9
27,193.2,0.125,-3.75,88.6
28,198.2,0.125,-3.54,88.39
29,203.3,0.125,-3.35,87.96
30,208.5,0.125,-3.12,87.77
31,213.8,0.125,-2.94,87.39
32,219.3,0.125,-2.71,87.01
33,225,0.125,-2.49,86.83
34,230.7,0.125,-2.26,86.66
35,236.7,0.125,-2.06,86.36
36,242.7,0.125,-1.85,86.02
37,249,0.125,-1.64,85.79
38,255.3,0.125,-1.4,85.48
39,261.9,0.125,-1.19,85.03
40,268.6,0.125,-0.97,84.81
41,275.5,0.125,-0.75,84.48
42,282.6,0.125,-0.56,84.24
43,289.8,0.125,-0.34,83.9
44,297.3,0.125,-0.13,83.62
45,304.9,0.125,0.1,83.2
46,312.7,0.125,0.28,82.86
47,320.7,0.125,0.48,82.69
48,329,0.125,0.72,82.37
49,337.4,0.125,0.91,81.93
50,346.1,0.125,1.12,81.65
51,355,0.125,1.34,81.36
52,364.1,0.125,1.56,80.98
53,373.4,0.125,1.76,80.7
54,383,0.125,1.97,80.43
55,392.8,0.125,2.17,79.93
56,402.9,0.125,2.37,79.6
57,413.2,0.125,2.6,79.3
58,423.8,0.125,2.8,78.9
59,434.7,0.125,3.01,78.5
60,445.9,0.125,3.22,78.15
61,457.3,0.125,3.4,77.86
62,469,0.125,3.6,77.42
63,481.1,0.125,3.84,77.06
64,493.4,0.125,4.04,76.61
65,506.1,0.125,4.23,76.19
66,519.1,0.125,4.45,75.81
67,532.4,0.125,4.64,75.34
68,546,0.125,4.84,74.94
69,560.1,0.125,5.04,74.54
70,574.4,0.125,5.24,74.12
71,589.2,0.125,5.43,73.58
72,604.3,0.125,5.64,73.12
73,619.8,0.125,5.82,72.69
74,635.7,0.125,6.01,72.25
75,652,0.125,6.21,71.78
76,668.7,0.125,6.4,71.27
77,685.9,0.125,6.59,70.75
78,703.5,0.125,6.8,70.29
79,721.6,0.125,6.98,69.74
80,740.1,0.125,7.16,69.28
81,759.1,0.125,7.35,68.75
82,778.5,0.125,7.54,68.24
83,798.5,0.125,7.72,67.69
84,819,0.125,7.9,67.16
85,840,0.125,8.12,66.52
86,861.6,0.125,8.3,65.96
87,883.7,0.125,8.47,65.43
88,906.4,0.125,8.66,64.8
89,929.6,0.125,8.84,64.22
90,953.5,0.125,9.02,63.61
91,977.9,0.125,9.18,63.01
92,1003,0.125,9.37,62.42
93,1028.8,0.125,9.54,61.81
94,1055.2,0.125,9.68,61.18
95,1082.2,0.125,9.85,60.51
96,1110,0.125,10.02,59.88
97,1138.5,0.125,10.19,59.23
98,1167.7,0.125,10.33,58.56
99,1197.7,0.125,10.51,57.86
100,1228.4,0.125,10.65,57.22
101,1259.9,0.125,10.81,56.52
102,1292.3,0.125,10.95,55.81
103,1325.4,0.125,11.1,55.12
104,1359.4,0.125,11.26,54.44
105,1394.3,0.125,11.4,53.73
106,1430.1,0.125,11.53,52.98
107,1466.8,0.125,11.68,52.28
108,1504.4,0.125,11.82,51.55
109,1543,0.125,11.94,50.82
110,1582.6,0.125,12.08,50.08
111,1623.2,0.125,12.2,49.38
112,1664.9,0.125,12.34,48.63
113,1707.6,0.125,12.45,47.89
114,1751.4,0.125,12.57,47.15
115,1796.4,0.125,12.68,46.34
116,1842.4,0.125,12.82,45.65
117,1889.7,0.125,12.94,44.91
118,1938.2,0.125,13.03,44.12
119,1987.9,0.125,13.16,43.37
120,2039,0.125,13.25,42.64
121,2091.3,0.125,13.35,41.89
122,2144.9,0.125,13.45,41.12
123,2200,0.125,13.56,40.38
124,2256.4,0.125,13.65,39.58
125,2314.3,0.125,13.75,38.85
126,2373.7,0.125,13.84,38.1
127,2434.6,0.125,13.92,37.36
128,2497.1,0.125,13.99,36.66
129,2561.2,0.125,14.07,35.87
130,2626.9,0.125,14.13,35.16
131,2694.3,0.125,14.24,34.43
132,2763.4,0.125,14.33,33.7
133,2834.3,0.125,14.38,32.99
134,2907.1,0.125,14.46,32.2
135,2981.7,0.125,14.53,31.6
136,3058.2,0.125,14.59,30.87
137,3136.7,0.125,14.66,30.18
138,3217.1,0.125,14.71,29.49
139,3299.7,0.125,14.76,28.8
140,3384.4,0.125,14.82,28.11
141,3471.2,0.125,14.89,27.41
142,3560.3,0.125,14.93,26.72
143,3651.6,0.125,14.98,26.1
144,3745.3,0.125,15.05,25.4
145,3841.4,0.125,15.07,24.78
146,3940,0.125,15.12,24.09
147,4041.1,0.125,15.15,23.47
148,4144.8,0.125,15.2,22.83
149,4251.2,0.125,15.24,22.2
150,4360.3,0.125,15.28,21.57
151,4472.1,0.125,15.31,20.95
152,4586.9,0.125,15.35,20.38
153,4704.6,0.125,15.39,19.76
154,4825.3,0.125,15.43,19.18
155,4949.1,0.125,15.45,18.62
156,5076.1,0.125,15.49,17.97
157,5206.4,0.125,15.51,17.46
158,5340,0.125,15.53,16.84
159,5477,0.125,15.57,16.32
160,5617.5,0.125,15.59,15.75
161,5761.7,0.125,15.61,15.23
162,5909.5,0.125,15.64,14.65
163,6061.2,0.125,15.66,14.14
164,6216.7,0.125,15.67,13.63
165,6376.2,0.125,15.68,13.06
166,6539.8,0.125,15.71,12.49
167,6707.6,0.125,15.73,12.02
168,6879.8,0.125,15.74,11.51
169,7056.3,0.125,15.76,11.04
170,7237.4,0.125,15.79,10.48
171,7423.1,0.125,15.79,9.96
172,7613.5,0.125,15.8,9.5
173,7808.9,0.125,15.82,9.04
174,8009.3,0.125,15.84,8.54
175,8214.8,0.125,15.85,8.08
176,8425.6,0.125,15.85,7.57
177,8641.8,0.125,15.86,7.12
178,8863.5,0.125,15.87,6.63
179,9091,0.125,15.88,6.18
180,9324.3,0.125,15.9,5.71
181,9563.5,0.125,15.89,5.27
182,9808.9,0.125,15.92,4.8
183,10060.6,0.125,15.92,4.31
184,10318.8,0.125,15.93,3.88
185,10583.6,0.125,15.93,3.4
186,10855.1,0.125,15.94,2.96
187,11133.7,0.125,15.93,2.48
188,11419.4,0.125,15.94,2.03
189,11712.4,0.125,15.94,1.59
190,12012.9,0.125,15.94,1.19
191,12321.2,0.125,15.95,0.75
