Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg]
1000000,0.11404152858913268,-0.06079002248077845,-0.06079002248077845
6998000,0.0895874008863242,-5.025392511323798,-5.025392511323798
12996000,-0.13157684542543222,-7.534701245267342,-7.534701245267342
18994000,-0.032373640090860356,-11.797005713101942,-11.797005713101942
24992000,-0.14244400928683942,-15.429201226906152,-15.429201226906152
30990000,-0.0959479197863814,-19.58508081158861,-19.58508081158861
36988000,-0.03698151741499422,-23.268207639062762,-23.268207639062762
42986000,0.14607271235006403,-25.932870324206743,-25.932870324206743
48984000,0.020502835161449344,-28.53282204121465,-28.53282204121465
54982000,0.18514488761470477,-31.822262974367508,-31.822262974367508
60980000,-0.005636816660315172,-35.63017128681072,-35.63017128681072
66978000,0.006077506812200672,-38.54278101151722,-38.54278101151722
72976000,0.2244888225854273,-41.636779537874204,-41.636779537874204
78974000,-0.23024999325286707,-45.313865590148986,-45.313865590148986
84972000,-0.13175142414925606,-47.82746464137116,-47.82746464137116
90970000,-0.5156111285207,-51.279221753282826,-51.279221753282826
96968000,-0.2350523176436861,-54.61248320700797,-54.61248320700797
102966000,-0.632500501935112,-59.67274359791814,-59.67274359791814
108964000,-0.4176492996464305,-63.390545736043904,-63.390545736043904
114962000,-0.6518232512113205,-68.60028950912154,-68.60028950912154
120960000,-0.7344576969287148,-71.97952077997172,-71.97952077997172
126958000,-0.7673784254247933,-73.94660781882824,-73.94660781882824
132956000,-0.41525729159231195,-79.92548810483962,-79.92548810483962
138954000,-0.2730295288279543,-82.73513129817226,-82.73513129817226
144952000,-0.2541557840099996,-84.21226880459578,-84.21226880459578
150950000,-0.194530108551418,-88.43833910820582,-88.43833910820582
156948000,-0.1546360590384533,-91.8551683229642,-91.8551683229642
162946000,-0.5624960716258008,-93.50034696123502,-93.50034696123502
168944000,-0.3225580459339533,-96.17717421151693,-96.17717421151693
174942000,-0.6124516230100183,-99.31450171949255,-99.31450171949255
180940000,-0.6729016208381653,-101.03808649597175,-101.03808649597175
186938000,-0.8215875360176337,-106.1068765637184,-106.1068765637184
192936000,-0.9775616319749851,-109.43286406877941,-109.43286406877941
198934000,-0.9868706609632759,-112.78447470471916,-112.78447470471916
204932000,-1.1699425822366365,-118.04619964772147,-118.04619964772147
210930000,-0.9258580814230667,-119.99905747728171,-119.99905747728171
216928000,-0.9487335273659554,-124.46422471694504,-124.46422471694504
222926000,-0.8502864714828456,-127.69165176162987,-127.69165176162987
228924000,-0.8248103322302862,-131.4565129368628,-131.4565129368628
234922000,-0.6591185682371725,-133.5389023113794,-133.5389023113794
240920000,-0.6569094535627672,-137.15316881342895,-137.15316881342895
246918000,-0.577082475995571,-139.40560923330997,-139.40560923330997
252916000,-0.7043910199950627,-141.70658793487655,-141.70658793487655
258914000,-0.9356016714236901,-144.04750068764162,-144.04750068764162
264912000,-0.871932683415042,-146.86270860721183,-146.86270860721183
270910000,-1.0516633038747591,-151.0647791973215,-151.0647791973215
276908000,-1.2170326491087216,-152.56270349494613,-152.56270349494613
282906000,-1.2037133664656634,-158.13101786463264,-158.13101786463264
288904000,-1.1646533656565492,-159.04114718571412,-159.04114718571412
294902000,-1.2917167753517305,-162.56808728423988,-162.56808728423988
300900000,-1.1480495099224943,-165.64725651051023,-165.64725651051023
306898000,-1.5184695858292898,-169.9294021012478,-169.9294021012478
312896000,-1.306346590385562,-173.99586832332432,-173.99586832332432
318894000,-1.3593890895225291,-176.3535959524952,-176.3535959524952
324892000,-1.2907012862316345,-179.1842306496666,-179.1842306496666
330890000,-1.2356775153962802,178.07788230607798,-181.92211769392202
336888000,-1.448917318548983,174.8422158104248,-185.1577841895752
342886000,-1.5274128942767284,172.37145348960885,-187.62854651039115
348884000,-1.1512642066355212,168.68547178360527,-191.31452821639473
354882000,-1.383020931215727,167.25951444312798,-192.74048555687202
360880000,-0.9311088158786672,161.1894438381555,-198.8105561618445
366878000,-1.4884713526266706,160.13171726955284,-199.86828273044716
372876000,-1.3841419000785598,156.23570616829548,-203.76429383170452
378874000,-1.3802476375793327,154.9903076294484,-205.0096923705516
384872000,-1.5447783168224214,149.89101672436277,-210.10898327563723
390870000,-1.4236979758118775,149.47268930819348,-210.52731069180652
396868000,-1.930821945674956,144.48761234980972,-215.51238765019028
402866000,-1.845200651578681,143.99903346025317,-216.00096653974683
408864000,-2.1255226063578627,139.43894856289296,-220.56105143710704
414862000,-1.8595315237781942,134.99672426696563,-225.00327573303437
420860000,-2.0787163516402614,130.8584013965568,-229.1415986034432
426858000,-2.0551501866268636,129.25932313046627,-230.74067686953373
432856000,-2.0747723054247675,123.91859251118854,-236.08140748881146
438854000,-1.9406770978104064,121.23063864451805,-238.76936135548195
444852000,-2.230748117346751,118.07127961484275,-241.92872038515725
450850000,-1.7121620501972443,112.80661601893897,-247.19338398106103
456848000,-2.311336539553848,111.12165221763615,-248.87834778236385
462846000,-1.29684398112648,106.9311473721559,-253.06885262784408
468844000,-2.0321291112396396,103.80816253226746,-256.1918374677325
474842000,-1.5637062629362155,102.14210997982688,-257.8578900201731
480840000,-1.775286076249722,99.93009349626286,-260.0699065037371
486838000,-1.8040607434166098,98.33335548140285,-261.66664451859714
492836000,-1.824546590336873,96.47893952422721,-263.5210604757728
498834000,-1.6917074109854124,94.65731070432841,-265.34268929567156
504832000,-1.7287437755922084,90.80069633997368,-269.1993036600263
510830000,-2.1106808721952746,88.29115304485022,-271.7088469551498
516828000,-2.135371878678031,87.28894030858685,-272.71105969141314
522826000,-2.282010651145291,80.7779722091944,-279.2220277908056
528824000,-2.4297415747312456,79.64560513553018,-280.35439486446984
534822000,-2.690148320160042,74.23967131278457,-285.7603286872154
540820000,-2.4655896710924026,72.91884715123567,-287.0811528487643
546818000,-2.8146841294421865,67.92292083795914,-292.07707916204083
552816000,-2.9706634009796042,66.52729076688404,-293.47270923311595
558814000,-2.5846827779900794,61.68741802316702,-298.312581976833
564812000,-2.631938877027735,59.37443508098087,-300.62556491901915
570810000,-2.632991260406277,56.460170541023686,-303.5398294589763
576808000,-2.623706683763443,53.81121244731532,-306.1887875526847
582806000,-2.79253991082171,51.26614329131395,-308.73385670868606
588804000,-2.856855801154727,49.333897876371694,-310.6661021236283
594802000,-3.034830656915925,45.39104526222034,-314.60895473777964
600800000,-3.2999259704248547,43.86901287935461,-316.1309871206454
606798000,-3.678646540897925,39.277792798901935,-320.72220720109806
612796000,-3.573666597630031,37.26480258099354,-322.73519741900645
618794000,-3.563603681330206,32.42618061510255,-327.57381938489743
624792000,-3.693717701756829,30.211957452130306,-329.7880425478697
630790000,-3.7860265589641493,25.98520549029558,-334.0147945097044
636788000,-4.147198101733305,22.14860072468294,-337.8513992753171
642786000,-3.9404320022928125,20.44647636171802,-339.553523638282
648784000,-3.843605067570137,15.158531715279189,-344.8414682847208
654782000,-3.9271096422268976,11.785597163741663,-348.21440283625833
660780000,-4.023966158047321,10.756479765851696,-349.2435202341483
666778000,-4.180439775423823,7.9580422496813155,-352.04195775031866
672776000,-4.02557366062573,5.842478597247982,-354.157521402752
678774000,-4.264555024126158,2.1935770108514214,-357.8064229891486
684772000,-4.322215250907165,0.09089142267050433,-359.9091085773295
690770000,-4.855980403391941,-4.024617630114271,-364.0246176301143
696768000,-4.789868599365375,-5.772852535021779,-365.7728525350218
702766000,-5.053881434136082,-10.850078255206009,-370.85007825520603
708764000,-4.762125285022908,-10.343754344196947,-370.34375434419695
714762000,-5.32870385359935,-16.791654029803574,-376.79165402980357
720760000,-5.297584781846,-19.846982774561223,-379.84698277456124
726758000,-5.496929723735904,-20.46999896262348,-380.4699989626235
732756000,-5.513699003444788,-26.58594380637916,-386.58594380637913
738754000,-5.658964566920388,-29.924084495050902,-389.9240844950509
744752000,-5.413332205100131,-32.7038505211849,-392.7038505211849
750750000,-5.770228807604178,-35.84533217571817,-395.84533217571817
756748000,-5.525106604087625,-38.57669048541577,-398.5766904854158
762746000,-5.850819695223918,-41.10731471864589,-401.1073147186459
768744000,-5.604548953275847,-44.641730079336476,-404.64173007933647
774742000,-6.337174952172053,-45.34630648899695,-405.34630648899696
780740000,-6.085328044603216,-47.250001432706874,-407.2500014327069
786738000,-6.43839895811002,-52.884682047980604,-412.8846820479806
792736000,-6.6469087503647675,-55.25637964089783,-415.2563796408978
798734000,-6.517963376517607,-55.99648820149616,-415.99648820149616
804732000,-7.540321297436325,-59.84568807298636,-419.8456880729864
810730000,-7.435440320989157,-60.76262607971238,-420.7626260797124
816728000,-7.5045568267373906,-70.62274620738309,-430.6227462073831
822726000,-7.626520588959469,-72.41145534051621,-432.4114553405162
828724000,-7.733459655805993,-79.49104150328577,-439.49104150328577
834722000,-7.937671768361721,-78.64095347095731,-438.6409534709573
840720000,-7.904719037433191,-85.60110740688572,-445.6011074068857
846718000,-8.177003499803421,-88.48395669127305,-448.4839566912731
852716000,-7.878410027676822,-92.01213462802058,-452.0121346280206
858714000,-7.90044415026824,-93.02663983778022,-453.02663983778024
864712000,-7.71748231591872,-95.61124813172829,-455.6112481317283
870710000,-7.880588502304077,-98.95357980645679,-458.9535798064568
876708000,-8.121054850267665,-101.72216658608362,-461.72216658608363
882706000,-8.06671615341079,-107.03242541548207,-467.03242541548207
888704000,-8.633955336688183,-108.09590728268242,-468.09590728268245
894702000,-8.28671923830563,-109.84278523315895,-469.84278523315896
900700000,-8.668473468310335,-111.64576668459536,-471.64576668459534
906698000,-8.822945735782683,-118.57257469558064,-478.57257469558067
912696000,-8.950073150207878,-121.98719669458184,-481.9871966945818
918694000,-9.084991180045458,-123.06526066873099,-483.06526066873096
924692000,-9.597374676703161,-125.96395917386731,-485.9639591738673
930690000,-9.433688454716135,-130.92725234112487,-490.92725234112487
