Frequency (Hz),Frequency (kHz),Vin (V),Vin (mV),Vout (V) ,Vout (mV) ,Gain ,Gain (dB)
200000,200,0.125,125,0.316,316,2.528,8.055541392
400000,400,0.125,125,0.318,318,2.544,8.11034214
600000,600,0.125,125,0.32,320,2.56,8.164799306
800000,800,0.125,125,0.32,320,2.56,8.164799306
1000000,1000,0.125,125,0.322,322,2.576,8.218917174
1200000,1200,0.125,125,0.322,322,2.576,8.218917174
1400000,1400,0.125,125,0.322,322,2.576,8.218917174
1600000,1600,0.125,125,0.32,320,2.56,8.164799306
1800000,1800,0.125,125,0.322,322,2.576,8.218917174
2000000,2000,0.125,125,0.326,326,2.608,8.326151741
2200000,2200,0.125,125,0.332,332,2.656,8.484561414
2400000,2400,0.125,125,0.34,340,2.72,8.691378081
2600000,2600,0.125,125,0.346,346,2.768,8.843321716
2800000,2800,0.125,125,0.356,356,2.848,9.090799699
3000000,3000,0.125,125,0.362,362,2.896,9.235971151
3200000,3200,0.125,125,0.374,374,2.992,9.519231784
3400000,3400,0.125,125,0.382,382,3.056,9.703066998
3600000,3600,0.125,125,0.394,394,3.152,9.971724176
3800000,3800,0.125,125,0.406,406,3.248,10.23232041
4000000,4000,0.125,125,0.406,406,3.248,10.23232041
4200000,4200,0.125,125,0.39,390,3.12,9.88309188
4400000,4400,0.125,125,0.354,354,2.832,9.04186498
4600000,4600,0.125,125,0.297,297,2.376,7.516928726
4800000,4800,0.125,125,0.245,245,1.96,5.845121427
5000000,5000,0.125,125,0.197,197,1.576,3.951124263
5200000,5200,0.125,125,0.161,161,1.288,2.19831726
5400000,5400,0.125,125,0.133,133,1.064,0.538832559
5600000,5600,0.125,125,0.113,113,0.904,-0.87663139
5800000,5800,0.125,125,0.096,96,0.768,-2.292775599
6000000,6000,0.125,125,0.084,84,0.672,-3.452614539
6200000,6200,0.125,125,0.072,72,0.576,-4.791550332
6400000,6400,0.125,125,0.064,64,0.512,-5.81460078
6600000,6600,0.125,125,0.06,60,0.48,-6.375175252
6800000,6800,0.125,125,0.052,52,0.416,-7.618133387
7000000,7000,0.125,125,0.048,48,0.384,-8.313375513
7200000,7200,0.125,125,0.04,40,0.32,-9.897000434
7400000,7400,0.125,125,0.035,35,0.28,-11.05683937
7600000,7600,0.125,125,0.033,33,0.264,-11.56792146
7800000,7800,0.125,125,0.031,31,0.248,-12.11096638
8000000,8000,0.125,125,0.027,27,0.216,-13.31092498
8200000,8200,0.125,125,0.026,26,0.208,-13.6387333
8400000,8400,0.125,125,0.023,23,0.184,-14.70364354
8600000,8600,0.125,125,0.022,22,0.176,-15.08974664
8800000,8800,0.125,125,0.02,20,0.16,-15.91760035
9000000,9000,0.125,125,0.02,20,0.16,-15.91760035
9200000,9200,0.125,125,0.019,19,0.152,-16.36312824
9400000,9400,0.125,125,0.018,18,0.144,-16.83275016
9600000,9600,0.125,125,0.016,16,0.128,-17.85580061
9800000,9800,0.125,125,0.016,16,0.128,-17.85580061
10000000,10000,0.125,125,0.016,16,0.128,-17.85580061
10200000,10200,0.125,125,0.015,15,0.12,-18.41637508
10400000,10400,0.125,125,0.015,15,0.12,-18.41637508
10600000,10600,0.125,125,0.015,15,0.12,-18.41637508
10800000,10800,0.125,125,0.014,14,0.112,-19.01563955
11000000,11000,0.125,125,0.014,14,0.112,-19.01563955
11200000,11200,0.125,125,0.014,14,0.112,-19.01563955
11400000,11400,0.125,125,0.013,13,0.104,-19.65933321
11600000,11600,0.125,125,0.012,12,0.096,-20.35457534
11800000,11800,0.125,125,0.012,12,0.096,-20.35457534
12000000,12000,0.125,125,0.014,14,0.112,-19.01563955
12200000,12200,0.125,125,0.013,13,0.104,-19.65933321
12400000,12400,0.125,125,0.012,12,0.096,-20.35457534
12600000,12600,0.125,125,0.012,12,0.096,-20.35457534
12800000,12800,0.125,125,0.012,12,0.096,-20.35457534
13000000,13000,0.125,125,0.013,13,0.104,-19.65933321
13200000,13200,0.125,125,0.012,12,0.096,-20.35457534
13400000,13400,0.125,125,0.011,11,0.088,-21.11034656
13600000,13600,0.125,125,0.012,12,0.096,-20.35457534
13800000,13800,0.125,125,0.012,12,0.096,-20.35457534
14000000,14000,0.125,125,0.012,12,0.096,-20.35457534
14200000,14200,0.125,125,0.012,12,0.096,-20.35457534
14400000,14400,0.125,125,0.012,12,0.096,-20.35457534
14600000,14600,0.125,125,0.012,12,0.096,-20.35457534
14800000,14800,0.125,125,0.011,11,0.088,-21.11034656
15000000,15000,0.125,125,0.012,12,0.096,-20.35457534
