Input Voltage (V),Angular Velocity (rad/s),Disc Dimension Tested
-10.0,-239.30,"Small (dia: 45mm, h: 10mm )"
-9.5,-227.30,"Large (dia: 65mm, h: 15mm)"
-9.0,-215.10,
-8.5,-202.90,
-8.0,-190.10,
-7.5,-178.75,
-7.0,-166.60,
-6.5,-154.61,
-6.0,-142.45,
-5.5,-130.30,
-5.0,-118.30,
-4.5,-106.15,
-4.0,-94.00,
-3.5,-82.00,
-3.0,-69.80,
-2.5,-57.60,
-2.0,-45.55,
-1.5,-33.30,
-1.0,-21.00,
-0.9,-18.70,
-0.8,-16.30,
-0.7,-13.80,
-0.6,-11.50,
-0.5,-9.30,
-0.4,-7.00,
-0.3,-4.80,
-0.2,-2.70,
-0.1,0.00,
0.0,0.00,
0.1,0.00,
0.2,2.70,
0.3,5.15,
0.4,7.25,
0.5,9.60,
0.6,11.80,
0.7,14.15,
0.8,16.60,
0.9,18.95,
1.0,21.30,
1.5,33.50,
2.0,45.70,
2.5,57.70,
3.0,70.00,
3.5,82.10,
4.0,94.10,
4.5,106.20,
5.0,118.40,
5.5,130.30,
6.0,142.45,
6.5,154.60,
7.0,166.60,
7.5,178.75,
8.0,190.95,
8.5,202.90,
9.0,215.10,
9.5,227.30,
10.0,239.30,
