Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],,,,,,,,
1000000,0.207454291,0.386320262,0.386320262,,,,,,,,
15995000,-0.064219646,-9.942292357,-9.942292357,,,,,,,,
30990000,0.164623032,-20.84031379,-20.84031379,,,,,,,,
45985000,0.230838798,-30.3455705,-30.3455705,,,,,,,,
60980000,-0.165268224,-38.30346126,-38.30346126,,MIN,-36.92887194,,MIN2,-36.92887194,85.32905143,1.489272893
75975000,-0.367319045,-47.53569901,-47.53569901,,FREQ,1755415000,,FREQ2,1755415000,,
90970000,-0.461091911,-59.28475477,-59.28475477,,,,,,,,
105965000,-0.154620838,-71.65980027,-71.65980027,,,,,,,,
120960000,-0.277899957,-80.73879404,-80.73879404,,,,,,,,
135955000,-0.219275288,-86.00057667,-86.00057667,,,,,,,,
150950000,-0.284171643,-94.35838058,-94.35838058,,,,,,,,
165945000,-0.936121569,-106.2987614,-106.2987614,,,,,,,,
180940000,-0.95844014,-116.1516778,-116.1516778,,,,,,,,
195935000,-0.588260047,-127.6693706,-127.6693706,,,,,,,,
210930000,-0.534847365,-135.6986611,-135.6986611,,,,,,,,
225925000,-0.537572214,-142.8800181,-142.8800181,,,,,,,,
240920000,-0.727642,-152.9770012,-152.9770012,,,,,,,,
255915000,-0.908812628,-160.620298,-160.620298,,,,,,,,
270910000,-1.163511719,-172.0214458,-172.0214458,,,,,,,,
285905000,-1.044356012,178.4378643,-181.5621357,,,,,,,,
300900000,-0.757703593,170.8030089,-189.1969911,,,,,,,,
315895000,-1.083306195,161.5952676,-198.4047324,,,,,,,,
330890000,-1.415534387,155.6097986,-204.3902014,,,,,,,,
345885000,-1.251761697,144.3615694,-215.6384306,,,,,,,,
360880000,-1.561388902,133.6061157,-226.3938843,,,,,,,,
375875000,-2.00239333,125.8933392,-234.1066608,,,,,,,,
390870000,-2.297176038,114.7902868,-245.2097132,,,,,,,,
405865000,-2.013966163,100.7995352,-259.2004648,,,,,,,,
420860000,-1.717081776,91.18943612,-268.8105639,,,,,,,,
435855000,-1.43488046,82.5900716,-277.4099284,,,,,,,,
450850000,-1.128539426,76.22890488,-283.7710951,,,,,,,,
465845000,-1.477732094,70.41795831,-289.5820417,,,,,,,,
480840000,-2.092997015,60.73642343,-299.2635766,,,,,,,,
495835000,-2.398276995,51.35241316,-308.6475868,,,,,,,,
510830000,-2.589544856,39.44272279,-320.5572772,,,,,,,,
525825000,-2.531002701,32.63585878,-327.3641412,,,,,,,,
540820000,-2.656649203,23.37100107,-336.6289989,,,,,,,,
555815000,-2.946293757,14.91015027,-345.0898497,,,,,,,,
570810000,-3.206708495,5.181786038,-354.818214,,,,,,,,
585805000,-3.216397658,-3.280444223,-363.2804442,,,,,,,,
600800000,-3.38939883,-12.55308958,-372.5530896,,,,,,,,
615795000,-3.851254562,-20.38894851,-380.3889485,,,,,,,,
630790000,-4.188414424,-28.83994669,-388.8399467,,,,,,,,
645785000,-4.542177572,-37.98425448,-397.9842545,,,,,,,,
660780000,-5.073571106,-47.03596808,-407.0359681,,,,,,,,
675775000,-4.800494132,-57.58331519,-417.5833152,,,,,,,,
690770000,-5.097107349,-69.14009858,-429.1400986,,,,,,,,
705765000,-5.136420171,-77.83096733,-437.8309673,,,,,,,,
720760000,-5.065769047,-83.90450218,-443.9045022,,,,,,,,
735755000,-4.891054327,-92.45852282,-452.4585228,,,,,,,,
750750000,-5.806496005,-97.12911988,-457.1291199,,,,,,,,
765745000,-6.451631531,-106.4441405,-466.4441405,,,,,,,,
780740000,-6.738330241,-118.2921699,-478.2921699,,,,,,,,
795735000,-6.775730578,-131.8799897,-491.8799897,,,,,,,,
810730000,-6.806758988,-140.4603985,-500.4603985,,,,,,,,
825725000,-6.329221497,-147.218079,-507.218079,,,,,,,,
840720000,-6.53928232,-157.4930378,-517.4930378,,,,,,,,
