Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],,,,,
1000000,-63.5196248,-171.6064443,-171.6064443,,,,,
15920398,-59.83550029,36.77417916,-323.2258208,,,,,
30840796,-57.64927512,157.6453004,-202.3546996,,,,,
45761194,-54.46739394,73.59639202,-286.403608,,,,,
60681592,-49.08139147,72.185007,-287.814993,,,-54.6573343,23.7892595,0.415200904
75601990,-54.22110517,74.5658778,-285.4341222,,,,,
90522388,-45.80167517,63.11452391,-296.8854761,,,,,
105442786,-44.57713097,81.90708591,-278.0929141,,,,,
120363184,-45.23675375,93.75365973,-266.2463403,,,,,
135283582,-41.59251429,69.36166095,-290.638339,,,,,
150203980,-44.49962975,64.86663609,-295.1333639,,,,,
165124378,-49.65262142,78.13390885,-281.8660912,,,,,
180044776,-41.35475358,53.74578481,-306.2542152,,,,,
194965174,-39.04465308,28.15416986,-331.8458301,,,,,
209885572,-41.61461619,38.9348414,-321.0651586,,,,,
224805970,-35.91041851,14.2315299,-345.7684701,,,,,
239726368,-36.01767052,61.82257714,-298.1774229,,,,,
254646766,-39.22652433,25.53397614,-334.4660239,,,,,
269567164,-32.78341175,40.86829507,-319.1317049,,,,,
284487562,-34.90177622,47.42500778,-312.5749922,,,,,
299407960,-32.52944885,7.779705978,-352.220294,,,,,
314328358,-34.03175657,18.50195011,-341.4980499,,,,,
329248756,-35.12114144,35.6498878,-324.3501122,,,,,
344169154,-26.6020201,2.686158347,-357.3138417,,,,,
359089552,-30.84907916,35.3358074,-324.6641926,,,,,
374009950,-25.0209256,6.377873945,-353.6221261,,,,,
388930348,-24.78555663,1.407978427,-358.5920216,,,,,
403850746,-22.6532609,-1.362766272,-361.3627663,,,,,
418771144,-20.58638523,-6.558033074,-366.5580331,,,,,
433691542,-25.56394836,-41.72247185,-401.7224718,,,,,
448611940,-17.83256623,-29.40536116,-389.4053612,,,,,
463532338,-19.85866998,-40.05702669,-400.0570267,,,,,
478452736,-14.58711548,-88.99379095,-448.993791,,,,,
493373134,-15.68019898,-74.16351081,-434.1635108,,,,,
508293532,-17.19240102,-93.00325802,-453.003258,,,,,
523213930,-21.54720797,-119.559242,-479.559242,,,,,
538134328,-20.91681747,-125.7150141,-485.7150141,,,,,
553054726,-23.88457312,-153.4828451,-513.4828451,,,,,
567975124,-21.28807708,-152.4049284,-512.4049284,,,,,
582895522,-22.4201407,177.070777,-542.929223,,,,,
597815920,-21.52936847,-172.6108719,-532.6108719,,,,,
612736318,-22.87536746,-171.8418574,-531.8418574,,,,,
627656716,-24.86438484,173.2610534,-546.7389466,,,,,
642577114,-23.85237675,-158.3420328,-518.3420328,,,,,
657497512,-26.3816199,-168.7329249,-528.7329249,,,,,
672417910,-29.32754621,-177.90219,-537.90219,,,,,
687338308,-28.33779803,169.2055437,-550.7944563,,,,,
702258706,-27.69669985,157.0456941,-562.9543059,,,,,
717179104,-26.96154177,156.2511617,-563.7488383,,,,,
732099502,-25.82815626,153.1850581,-566.8149419,,,,,
747019900,-26.60889059,159.3378487,-560.6621513,,,,,
761940298,-27.70293857,159.8660091,-560.1339909,,,,,
776860696,-29.50886947,159.7090138,-560.2909862,,,,,
791781094,-29.87264927,150.1933352,-569.8066648,,,,,
806701492,-29.98567127,143.6721933,-576.3278067,,,,,
821621890,-29.01457371,134.4293072,-585.5706928,,,,,
836542288,-28.51447997,136.0495358,-583.9504642,,,,,
851462686,-28.23016305,139.4697843,-580.5302157,,,,,
866383084,-29.14159726,143.3067422,-576.6932578,,,,,
881303482,-29.10168148,142.4390382,-577.5609618,,,,,
896223880,-30.88006771,138.8178148,-581.1821852,,,,,
911144278,-30.43598667,133.8306461,-586.1693539,,,,,
926064676,-31.84534641,124.4646566,-595.5353434,,,,,
940985074,-30.24212621,119.470227,-600.529773,,,,,
955905472,-29.91190365,105.6272676,-614.3727324,,,,,
970825870,-29.40593437,111.8652145,-608.1347855,,,,,
985746268,-29.37527288,112.4012396,-607.5987604,,,,,
1000666666,-29.4968639,113.1953947,-606.8046053,,,,,
1015587064,-30.49513421,115.3487806,-604.6512194,,,,,
